"DN","Change","c07","c08","c09","c10","m07","m08","m09","m10","deforest","minMagn","cMinMagn","newID"
68,"no_change",0,0,0,0,-0.069508232176304,-0.019242521375418,0.016045616939664,-0.007480499334633,"no",-0.019242521375418,0,43
69,"no_change",0,0,0,0,-0.016497237607837,-0.031220745295286,-0.007307189982384,-0.020878907293081,"no",-0.031220745295286,0,44
70,"no_change",0,0,1,0,0.035221517086029,-0.046673074364662,-0.102725170552731,0.026278955861926,"no",-0.102725170552731,1,45
71,"no_change",0,0,1,0,0.02529114857316,-0.05508191883564,-0.090146981179714,0.0398088991642,"no",-0.090146981179714,1,46
72,"no_change",0,0,1,0,0.031676765531301,-0.0752944201231,-0.063147209584713,0.03928042948246,"no",-0.0752944201231,0,47
73,"def",0,0,1,0,0.038412448018789,-0.042437475174665,-0.076047264039516,0.023671781644225,"yes",-0.076047264039516,1,48
74,"def",0,0,1,0,0.053126402199268,-0.042455609887838,-0.105399250984192,-0.000586795911659,"yes",-0.105399250984192,1,49
75,"def",0,0,1,0,0.059268835932016,-0.090441316366196,-0.124662317335606,0.008487931452692,"yes",-0.124662317335606,1,50
79,"no_change",0,0,0,0,0.04619836807251,-0.015183082781732,0.018576273694634,-0.010907519608736,"no",-0.015183082781732,0,51
80,"no_change",0,0,0,0,0.055702809244394,-0.018538486212492,0.002297691768035,-0.003461198415607,"no",-0.018538486212492,0,52
81,"no_change",0,0,0,0,0.044023517519236,-0.024371514096856,0.007924085482955,-0.011971371248364,"no",-0.024371514096856,0,53
82,"no_change",0,0,0,0,0.033800289034843,0.006746204569936,0.061765313148499,0.02622839063406,"no",0.006746204569936,0,54
85,"no_change",0,0,0,0,0.043134156614542,-0.008241868577898,0.041341047734022,0.012633955106139,"no",-0.008241868577898,0,55
87,"no_change",0,0,0,0,0.053053326904774,-0.008463555015624,0.030939996242523,0.025757536292076,"no",-0.008463555015624,0,56
88,"def",0,0,1,0,0.036399845033884,-0.086480870842934,-0.134942710399628,-0.011595977470279,"yes",-0.134942710399628,1,57
89,"def",0,0,1,0,0.021101839840412,-0.031046904623508,-0.175307869911194,0.027225503697991,"yes",-0.175307869911194,1,58
90,"def",0,0,1,0,0.030646786093712,-0.068371780216694,-0.155131980776787,-0.006117650773376,"yes",-0.155131980776787,1,59
94,"def",0,0,1,0,0.00567649397999,-0.046827711164951,-0.056714661419392,0.015455873683095,"yes",-0.056714661419392,1,60
95,"def",0,0,1,0,0.039816234260798,-0.048765376210213,-0.090830884873867,0.028900366276503,"yes",-0.090830884873867,1,61
96,"deg",0,0,1,0,0.006532870233059,-0.034793566912413,-0.069761745631695,0.018392594531178,"no",-0.069761745631695,1,62
13,"no_change",0,0,1,0,-0.040194749832153,-0.037301100790501,-0.128583237528801,-0.082263372838497,"no",-0.128583237528801,1,63
35,"no_change",1,1,0,0,-0.05703529343009,-0.083737872540951,0.013485728763044,0.000844723370392,"no",-0.083737872540951,1,64
11,"no_change",0,0,0,0,-0.045130286365747,-0.010030265897512,0.00688285427168,-0.0112713156268,"no",-0.0112713156268,0,65
63,"no_change",0,0,0,0,0.035183768719435,-0.00951096508652,0.037744425237179,0.003838392905891,"no",-0.00951096508652,0,66
26,"no_change",0,0,0,0,0.008669253438711,-0.005679042078555,0.027295552194118,0.004368916619569,"no",-0.005679042078555,0,67
17,"no_change",0,0,1,0,0.041954524815083,-0.041118923574686,-0.043163955211639,-0.003667342942208,"no",-0.043163955211639,1,68
18,"no_change",0,0,0,0,0.030281525105238,0.013445862568915,0.029366897419095,0.023931326344609,"no",0.013445862568915,0,69
51,"no_change",0,0,1,0,0.0369628444314,-0.018804660066962,-0.068615920841694,0.019346872344613,"no",-0.068615920841694,1,70
40,"def",0,0,1,0,0.011026699095964,-0.034847155213356,-0.071253731846809,0.017870202660561,"yes",-0.071253731846809,1,71
65,"no_change",0,0,1,0,0.029516337439418,-0.038933750241995,-0.004608717747033,0.022522082552314,"no",-0.038933750241995,0,72
47,"no_change",0,0,1,0,0.001273364177905,-0.015968322753906,-0.028075473383069,0.003856585128233,"no",-0.028075473383069,1,73
10,"no_change",0,0,1,0,0.003643135773018,-0.054320219904184,-0.086737856268883,0.028739761561155,"no",-0.086737856268883,1,74
23,"no_change",0,0,1,0,-0.0219835806638,-0.035922076553106,-0.047847844660282,0.009556845761836,"no",-0.047847844660282,1,75
37,"def",0,0,0,0,0.030380873009562,-0.102780751883984,-0.039192270487547,0.023864792659879,"yes",-0.102780751883984,0,76
16,"def",0,0,1,0,0.033523555845022,-0.203419014811516,-0.095953993499279,-0.000360517238732,"yes",-0.203419014811516,0,77
21,"def",0,0,1,0,0.017758909612894,-0.157793283462524,-0.068479143083096,-0.007335841655731,"yes",-0.157793283462524,0,78
34,"no_change",0,0,1,0,0.037789642810822,-0.020116064697504,-0.105168603360653,0.063008219003677,"no",-0.105168603360653,1,79
48,"no_change",0,0,1,0,0.028047453612089,-0.024417361244559,-0.098020203411579,0.090612851083279,"no",-0.098020203411579,1,80
6,"no_change",0,0,0,0,-0.020420648157597,0.023163806647062,0.005815162323415,0.02368988469243,"no",0.005815162323415,0,81
49,"deg",0,0,0,0,0.016724392771721,-0.076522015035152,-0.048569466918707,0.027558038011193,"no",-0.076522015035152,0,82
14,"def",0,0,1,0,-0.015009876340628,-0.07686360180378,-0.064876422286034,-0.011592025868595,"yes",-0.07686360180378,0,83
64,"def",0,0,1,0,-0.017571527510881,-0.081387154757977,-0.07330721616745,-0.004273130558431,"yes",-0.081387154757977,0,84
38,"no_change",0,0,0,0,0.034492075443268,0.010087508708239,-0.081640496850014,0.060700889676809,"no",-0.081640496850014,0,85
20,"no_change",0,0,1,0,0.01933666691184,-0.022794932126999,-0.104538448154926,0.03598291054368,"no",-0.104538448154926,1,86
15,"no_change",0,0,0,0,0.052683901041746,-0.023561151698232,-0.059073206037283,0.048142567276955,"no",-0.059073206037283,0,87
8,"no_change",0,0,1,0,-0.003015666035935,0.015598279424012,-0.032270066440105,0.030652895569801,"no",-0.032270066440105,1,88
27,"no_change",0,0,1,0,-0.061091274023056,-0.011761475354433,-0.006902033928782,0.032011333853006,"no",-0.011761475354433,0,89
1,"def",0,0,0,0,0.051469538360834,0.016946267336607,-0.12618288397789,0.023697027936578,"yes",-0.12618288397789,0,90
22,"no_change",0,0,0,0,0.03869104385376,-0.012333383783698,0.042567029595375,-0.010600421577692,"no",-0.012333383783698,0,91
3,"no_change",0,0,0,0,0.002511466387659,-0.029339399188757,0.030625334009528,0.004936348646879,"no",-0.029339399188757,0,92
55,"no_change",0,0,0,0,0.015604333952069,-0.004332014359534,0.002144745318219,-0.005377687513828,"no",-0.005377687513828,0,93
46,"no_change",0,0,1,0,0.063321128487587,-0.049188204109669,-0.0387640632689,0.018677916377783,"no",-0.049188204109669,0,94
12,"no_change",0,0,0,0,0.020164361223578,-0.0435233078897,0.055626071989536,0.044952288269997,"no",-0.0435233078897,0,95
9,"no_change",0,0,0,0,0.021844040602446,-0.035576689988375,0.05465004965663,0.047497689723969,"no",-0.035576689988375,0,96
5,"no_change",0,0,0,0,0.057547099888325,-0.010541331022978,0.052461124956608,0.010659821331501,"no",-0.010541331022978,0,97
30,"no_change",0,0,0,0,0.041685838252306,-0.021568728610873,0.004591080360115,0.007938735187054,"no",-0.021568728610873,0,98
52,"no_change",0,0,0,0,0.029110282659531,-0.067826315760612,0.076591558754444,0.059742286801338,"no",-0.067826315760612,0,99
24,"no_change",0,0,0,0,0.08592577278614,0.032176047563553,0.026323406025767,0.031935799866915,"no",0.026323406025767,0,100
